Statement Period;Statement Number;Transaction Date;Fee Name;Amount(Include Tax);VAT Amount;Release Status;Release Date;Comment;Order Creation Date;Order Number;Order Line ID;Seller SKU;Lazada SKU;WHT Amount;WHT included in Amount;Order Status;Product Name;Short Code
27 Apr 2026 - 03 May 2026;PK2NBXPB2G6-2026-018;30 Apr 2026;Sponsored Solutions: Top-Up;-1150;0;Released;04 May 2026;Top Up Fee;;;;;;0;NO;;;PK2NBXPB2G6
27 Apr 2026 - 03 May 2026;PK2NBXPB2G6-2026-018;01 May 2026;Sponsored Solutions: Top-Up;-1150;0;Released;04 May 2026;Top Up Fee;;;;;;0;NO;;;PK2NBXPB2G6
27 Apr 2026 - 03 May 2026;PK2NBXPB2G6-2026-018;03 May 2026;Sponsored Solutions: Top-Up;-2300;0;Released;04 May 2026;Top Up Fee;;;;;;0;NO;;;PK2NBXPB2G6
27 Apr 2026 - 03 May 2026;PK2NBXPB2G6-2026-018;28 Apr 2026;Sponsored Solutions: Top-Up;-978;0;Released;04 May 2026;Top Up Fee;;;;;;0;NO;;;PK2NBXPB2G6
27 Apr 2026 - 03 May 2026;PK2NBXPB2G6-2026-018;29 Apr 2026;Sponsored Solutions: Top-Up;-173;0;Released;04 May 2026;Top Up Fee;;;;;;0;NO;;;PK2NBXPB2G6
27 Apr 2026 - 03 May 2026;PK2NBXPB2G6-2026-018;27 Apr 2026;Payment Fee;-57.4;7.9168;Released;04 May 2026;;23 Apr 2026;240813631525033;240813631625033;N-ASP01W;1952113996_PK-14014332869;0;NO;Delivered;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android IOS iPad Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
27 Apr 2026 - 03 May 2026;PK2NBXPB2G6-2026-018;27 Apr 2026;Shipping Fee Paid by Buyer;165;0;Released;04 May 2026;;23 Apr 2026;240813631525033;240813631625033;N-ASP01W;1952113996_PK-14014332869;0;NO;Delivered;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android IOS iPad Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
27 Apr 2026 - 03 May 2026;PK2NBXPB2G6-2026-018;27 Apr 2026;Product Price Paid by Buyer;2199;0;Released;04 May 2026;;23 Apr 2026;240813631525033;240813631625033;N-ASP01W;1952113996_PK-14014332869;0;NO;Delivered;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android IOS iPad Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
27 Apr 2026 - 03 May 2026;PK2NBXPB2G6-2026-018;27 Apr 2026;Commission Fee;-357.12;49.2576;Released;04 May 2026;;23 Apr 2026;240813631525033;240813631625033;N-ASP01W;1952113996_PK-14014332869;0;NO;Delivered;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android IOS iPad Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
27 Apr 2026 - 03 May 2026;PK2NBXPB2G6-2026-018;27 Apr 2026;Shipping Fee;-191.4;26.4;Released;04 May 2026;;23 Apr 2026;240813631525033;240813631625033;N-ASP01W;1952113996_PK-14014332869;0;NO;Delivered;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android IOS iPad Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
27 Apr 2026 - 03 May 2026;PK2NBXPB2G6-2026-018;27 Apr 2026;Handling Fee;-69.6;9.6;Released;04 May 2026;;23 Apr 2026;240813631525033;240813631625033;N-ASP01W;1952113996_PK-14014332869;0;NO;Delivered;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android IOS iPad Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
27 Apr 2026 - 03 May 2026;PK2NBXPB2G6-2026-018;27 Apr 2026;Free Shipping Max Fee;-153.05;21.1104;Released;04 May 2026;;23 Apr 2026;240813631525033;240813631625033;N-ASP01W;1952113996_PK-14014332869;0;NO;Delivered;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android IOS iPad Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
27 Apr 2026 - 03 May 2026;PK2NBXPB2G6-2026-018;27 Apr 2026;Co-funded Voucher Max;-43.98;0;Released;04 May 2026;;23 Apr 2026;240813631525033;240813631625033;N-ASP01W;1952113996_PK-14014332869;0;NO;Delivered;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android IOS iPad Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
27 Apr 2026 - 03 May 2026;PK2NBXPB2G6-2026-018;27 Apr 2026;Daraz Coins Discount Participation Fee;-5.8;0.8;Released;04 May 2026;;23 Apr 2026;240813631525033;240813631625033;N-ASP01W;1952113996_PK-14014332869;0;NO;Delivered;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android IOS iPad Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
27 Apr 2026 - 03 May 2026;PK2NBXPB2G6-2026-018;27 Apr 2026;Income Tax Withholding;-44;0;Released;04 May 2026;;23 Apr 2026;240813631525033;240813631625033;N-ASP01W;1952113996_PK-14014332869;0;NO;Delivered;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android IOS iPad Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
27 Apr 2026 - 03 May 2026;PK2NBXPB2G6-2026-018;27 Apr 2026;Sales Tax Withholding;-44;0;Released;04 May 2026;;23 Apr 2026;240813631525033;240813631625033;N-ASP01W;1952113996_PK-14014332869;0;NO;Delivered;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android IOS iPad Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
27 Apr 2026 - 03 May 2026;PK2NBXPB2G6-2026-018;02 May 2026;Payment Fee;-39.13;5.3968;Released;04 May 2026;;24 Apr 2026;240884255813238;240884255913238;N-USP01W;1952113996_PK-14014332867;0;NO;Delivered;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android IOS iPad Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
27 Apr 2026 - 03 May 2026;PK2NBXPB2G6-2026-018;02 May 2026;Product Price Paid by Buyer;1499;0;Released;04 May 2026;;24 Apr 2026;240884255813238;240884255913238;N-USP01W;1952113996_PK-14014332867;0;NO;Delivered;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android IOS iPad Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
