Statement Period;Statement Number;Transaction Date;Fee Name;Amount(Include Tax);VAT Amount;Release Status;Release Date;Comment;Order Creation Date;Order Number;Order Line ID;Seller SKU;Lazada SKU;WHT Amount;WHT included in Amount;Order Status;Product Name;Short Code
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;18 May 2026;Shipping Fee Discount;255.2;35.2;Released;25 May 2026;;14 May 2026;242016087622822;242016087722822;N-USP01W;1952113996_PK-14014332867;0;NO;Delivered;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android Windows Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;18 May 2026;Free Shipping Max Fee;-105.72;14.5824;Released;25 May 2026;;14 May 2026;242016087622822;242016087722822;N-USP01W;1952113996_PK-14014332867;0;NO;Delivered;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android Windows Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;18 May 2026;Co-funded Voucher Max;-30.38;0;Released;25 May 2026;;14 May 2026;242016087622822;242016087722822;N-USP01W;1952113996_PK-14014332867;0;NO;Delivered;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android Windows Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;18 May 2026;Daraz Coins Discount Participation Fee;-5.8;0.8;Released;25 May 2026;;14 May 2026;242016087622822;242016087722822;N-USP01W;1952113996_PK-14014332867;0;NO;Delivered;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android Windows Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;18 May 2026;Income Tax Withholding;-30;0;Released;25 May 2026;;14 May 2026;242016087622822;242016087722822;N-USP01W;1952113996_PK-14014332867;0;NO;Delivered;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android Windows Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;18 May 2026;Sales Tax Withholding;-30;0;Released;25 May 2026;;14 May 2026;242016087622822;242016087722822;N-USP01W;1952113996_PK-14014332867;0;NO;Delivered;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android Windows Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;18 May 2026;Payment Fee;-12.24;1.688;Released;25 May 2026;;15 May 2026;242087849740858;242087849840858;907820077-1755245282263-0;907820077_PK-3940982546;0;NO;Delivered;3 In1 USB Type-C /Micro-USB USB 2.0/3.0 Memory Card Reader Writer OTG Adapter SD TF Ultra Super Speed - Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;18 May 2026;Shipping Fee Paid by Buyer;220;0;Released;25 May 2026;;15 May 2026;242087849740858;242087849840858;907820077-1755245282263-0;907820077_PK-3940982546;0;NO;Delivered;3 In1 USB Type-C /Micro-USB USB 2.0/3.0 Memory Card Reader Writer OTG Adapter SD TF Ultra Super Speed - Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;18 May 2026;Product Price Paid by Buyer;469;0;Released;25 May 2026;;15 May 2026;242087849740858;242087849840858;907820077-1755245282263-0;907820077_PK-3940982546;0;NO;Delivered;3 In1 USB Type-C /Micro-USB USB 2.0/3.0 Memory Card Reader Writer OTG Adapter SD TF Ultra Super Speed - Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;18 May 2026;Commission Fee;-32.64;4.5024;Released;25 May 2026;;15 May 2026;242087849740858;242087849840858;907820077-1755245282263-0;907820077_PK-3940982546;0;NO;Delivered;3 In1 USB Type-C /Micro-USB USB 2.0/3.0 Memory Card Reader Writer OTG Adapter SD TF Ultra Super Speed - Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;18 May 2026;Shipping Fee;-255.2;35.2;Released;25 May 2026;;15 May 2026;242087849740858;242087849840858;907820077-1755245282263-0;907820077_PK-3940982546;0;NO;Delivered;3 In1 USB Type-C /Micro-USB USB 2.0/3.0 Memory Card Reader Writer OTG Adapter SD TF Ultra Super Speed - Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;18 May 2026;Handling Fee;-11.6;1.6;Released;25 May 2026;;15 May 2026;242087849740858;242087849840858;907820077-1755245282263-0;907820077_PK-3940982546;0;NO;Delivered;3 In1 USB Type-C /Micro-USB USB 2.0/3.0 Memory Card Reader Writer OTG Adapter SD TF Ultra Super Speed - Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;18 May 2026;Free Shipping Max Fee;-32.64;4.5024;Released;25 May 2026;;15 May 2026;242087849740858;242087849840858;907820077-1755245282263-0;907820077_PK-3940982546;0;NO;Delivered;3 In1 USB Type-C /Micro-USB USB 2.0/3.0 Memory Card Reader Writer OTG Adapter SD TF Ultra Super Speed - Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;18 May 2026;Co-funded Voucher Max;-9.38;0;Released;25 May 2026;;15 May 2026;242087849740858;242087849840858;907820077-1755245282263-0;907820077_PK-3940982546;0;NO;Delivered;3 In1 USB Type-C /Micro-USB USB 2.0/3.0 Memory Card Reader Writer OTG Adapter SD TF Ultra Super Speed - Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;18 May 2026;Daraz Coins Discount Participation Fee;-5.8;0.8;Released;25 May 2026;;15 May 2026;242087849740858;242087849840858;907820077-1755245282263-0;907820077_PK-3940982546;0;NO;Delivered;3 In1 USB Type-C /Micro-USB USB 2.0/3.0 Memory Card Reader Writer OTG Adapter SD TF Ultra Super Speed - Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;18 May 2026;Income Tax Withholding;-9;0;Released;25 May 2026;;15 May 2026;242087849740858;242087849840858;907820077-1755245282263-0;907820077_PK-3940982546;0;NO;Delivered;3 In1 USB Type-C /Micro-USB USB 2.0/3.0 Memory Card Reader Writer OTG Adapter SD TF Ultra Super Speed - Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;18 May 2026;Sales Tax Withholding;-9;0;Released;25 May 2026;;15 May 2026;242087849740858;242087849840858;907820077-1755245282263-0;907820077_PK-3940982546;0;NO;Delivered;3 In1 USB Type-C /Micro-USB USB 2.0/3.0 Memory Card Reader Writer OTG Adapter SD TF Ultra Super Speed - Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;18 May 2026;Payment Fee;-39.65;5.4688;Released;25 May 2026;;15 May 2026;242096462052328;242096462152328;N-USP01W;1952113996_PK-14014332867;0;NO;Delivered;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android Windows Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;18 May 2026;Shipping Fee Paid by Buyer;195;0;Released;25 May 2026;;15 May 2026;242096462052328;242096462152328;N-USP01W;1952113996_PK-14014332867;0;NO;Delivered;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android Windows Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;18 May 2026;Product Price Paid by Buyer;1519;0;Released;25 May 2026;;15 May 2026;242096462052328;242096462152328;N-USP01W;1952113996_PK-14014332867;0;NO;Delivered;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android Windows Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;18 May 2026;Commission Fee;-246.69;34.0256;Released;25 May 2026;;15 May 2026;242096462052328;242096462152328;N-USP01W;1952113996_PK-14014332867;0;NO;Delivered;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android Windows Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;18 May 2026;Shipping Fee;-226.2;31.2;Released;25 May 2026;;15 May 2026;242096462052328;242096462152328;N-USP01W;1952113996_PK-14014332867;0;NO;Delivered;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android Windows Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;18 May 2026;Handling Fee;-23.2;3.2;Released;25 May 2026;;15 May 2026;242096462052328;242096462152328;N-USP01W;1952113996_PK-14014332867;0;NO;Delivered;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android Windows Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;18 May 2026;Free Shipping Max Fee;-105.72;14.5824;Released;25 May 2026;;15 May 2026;242096462052328;242096462152328;N-USP01W;1952113996_PK-14014332867;0;NO;Delivered;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android Windows Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;18 May 2026;Co-funded Voucher Max;-30.38;0;Released;25 May 2026;;15 May 2026;242096462052328;242096462152328;N-USP01W;1952113996_PK-14014332867;0;NO;Delivered;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android Windows Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;18 May 2026;Daraz Coins Discount Participation Fee;-5.8;0.8;Released;25 May 2026;;15 May 2026;242096462052328;242096462152328;N-USP01W;1952113996_PK-14014332867;0;NO;Delivered;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android Windows Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;18 May 2026;Income Tax Withholding;-30;0;Released;25 May 2026;;15 May 2026;242096462052328;242096462152328;N-USP01W;1952113996_PK-14014332867;0;NO;Delivered;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android Windows Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;18 May 2026;Sales Tax Withholding;-30;0;Released;25 May 2026;;15 May 2026;242096462052328;242096462152328;N-USP01W;1952113996_PK-14014332867;0;NO;Delivered;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android Windows Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;19 May 2026;Payment Fee;-7.57;1.0448;Released;25 May 2026;;15 May 2026;242098481320381;242098481420381;912207851-1756198389370-0;912207851_PK-3954445194;0;NO;Delivered;2 In 1 Stylish Universal Practical Dual-use Capacitive Tablet Stylus Pen Exquisite Double-headed Silicone Disc Drawing Tablet Phone Capacitor Pen - Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;19 May 2026;Shipping Fee Paid by Buyer;5;0;Released;25 May 2026;;15 May 2026;242098481320381;242098481420381;912207851-1756198389370-0;912207851_PK-3954445194;0;NO;Delivered;2 In 1 Stylish Universal Practical Dual-use Capacitive Tablet Stylus Pen Exquisite Double-headed Silicone Disc Drawing Tablet Phone Capacitor Pen - Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;19 May 2026;Product Price Paid by Buyer;290;0;Released;25 May 2026;;15 May 2026;242098481320381;242098481420381;912207851-1756198389370-0;912207851_PK-3954445194;0;NO;Delivered;2 In 1 Stylish Universal Practical Dual-use Capacitive Tablet Stylus Pen Exquisite Double-headed Silicone Disc Drawing Tablet Phone Capacitor Pen - Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;19 May 2026;Commission Fee;-47.1;6.496;Released;25 May 2026;;15 May 2026;242098481320381;242098481420381;912207851-1756198389370-0;912207851_PK-3954445194;0;NO;Delivered;2 In 1 Stylish Universal Practical Dual-use Capacitive Tablet Stylus Pen Exquisite Double-headed Silicone Disc Drawing Tablet Phone Capacitor Pen - Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;19 May 2026;Shipping Fee;-255.2;35.2;Released;25 May 2026;;15 May 2026;242098481320381;242098481420381;912207851-1756198389370-0;912207851_PK-3954445194;0;NO;Delivered;2 In 1 Stylish Universal Practical Dual-use Capacitive Tablet Stylus Pen Exquisite Double-headed Silicone Disc Drawing Tablet Phone Capacitor Pen - Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;19 May 2026;Handling Fee;-11.6;1.6;Released;25 May 2026;;15 May 2026;242098481320381;242098481420381;912207851-1756198389370-0;912207851_PK-3954445194;0;NO;Delivered;2 In 1 Stylish Universal Practical Dual-use Capacitive Tablet Stylus Pen Exquisite Double-headed Silicone Disc Drawing Tablet Phone Capacitor Pen - Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;19 May 2026;Shipping Fee Discount;249.4;34.4;Released;25 May 2026;;15 May 2026;242098481320381;242098481420381;912207851-1756198389370-0;912207851_PK-3954445194;0;NO;Delivered;2 In 1 Stylish Universal Practical Dual-use Capacitive Tablet Stylus Pen Exquisite Double-headed Silicone Disc Drawing Tablet Phone Capacitor Pen - Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;19 May 2026;Free Shipping Max Fee;-20.18;2.784;Released;25 May 2026;;15 May 2026;242098481320381;242098481420381;912207851-1756198389370-0;912207851_PK-3954445194;0;NO;Delivered;2 In 1 Stylish Universal Practical Dual-use Capacitive Tablet Stylus Pen Exquisite Double-headed Silicone Disc Drawing Tablet Phone Capacitor Pen - Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;19 May 2026;Co-funded Voucher Max;-5.8;0;Released;25 May 2026;;15 May 2026;242098481320381;242098481420381;912207851-1756198389370-0;912207851_PK-3954445194;0;NO;Delivered;2 In 1 Stylish Universal Practical Dual-use Capacitive Tablet Stylus Pen Exquisite Double-headed Silicone Disc Drawing Tablet Phone Capacitor Pen - Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;19 May 2026;Income Tax Withholding;-6;0;Released;25 May 2026;;15 May 2026;242098481320381;242098481420381;912207851-1756198389370-0;912207851_PK-3954445194;0;NO;Delivered;2 In 1 Stylish Universal Practical Dual-use Capacitive Tablet Stylus Pen Exquisite Double-headed Silicone Disc Drawing Tablet Phone Capacitor Pen - Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;19 May 2026;Sales Tax Withholding;-6;0;Released;25 May 2026;;15 May 2026;242098481320381;242098481420381;912207851-1756198389370-0;912207851_PK-3954445194;0;NO;Delivered;2 In 1 Stylish Universal Practical Dual-use Capacitive Tablet Stylus Pen Exquisite Double-headed Silicone Disc Drawing Tablet Phone Capacitor Pen - Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;18 May 2026;Payment Fee;-11.38;1.5696;Released;25 May 2026;;15 May 2026;242101450887354;242101450987354;907863275-1755246547299-0;907863275_PK-3941429372;0;NO;Delivered;2 In1 USB Type-C /Micro-USB USB 2.0/3.0 Memory Card Reader Writer OTG Adapter SD TF Super Speed;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;18 May 2026;Product Price Paid by Buyer;436;0;Released;25 May 2026;;15 May 2026;242101450887354;242101450987354;907863275-1755246547299-0;907863275_PK-3941429372;0;NO;Delivered;2 In1 USB Type-C /Micro-USB USB 2.0/3.0 Memory Card Reader Writer OTG Adapter SD TF Super Speed;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;18 May 2026;Commission Fee;-30.35;4.1856;Released;25 May 2026;;15 May 2026;242101450887354;242101450987354;907863275-1755246547299-0;907863275_PK-3941429372;0;NO;Delivered;2 In1 USB Type-C /Micro-USB USB 2.0/3.0 Memory Card Reader Writer OTG Adapter SD TF Super Speed;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;18 May 2026;Shipping Fee;-226.2;31.2;Released;25 May 2026;;15 May 2026;242101450887354;242101450987354;907863275-1755246547299-0;907863275_PK-3941429372;0;NO;Delivered;2 In1 USB Type-C /Micro-USB USB 2.0/3.0 Memory Card Reader Writer OTG Adapter SD TF Super Speed;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;18 May 2026;Handling Fee;-11.6;1.6;Released;25 May 2026;;15 May 2026;242101450887354;242101450987354;907863275-1755246547299-0;907863275_PK-3941429372;0;NO;Delivered;2 In1 USB Type-C /Micro-USB USB 2.0/3.0 Memory Card Reader Writer OTG Adapter SD TF Super Speed;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;18 May 2026;Shipping Fee Discount;226.2;31.2;Released;25 May 2026;;15 May 2026;242101450887354;242101450987354;907863275-1755246547299-0;907863275_PK-3941429372;0;NO;Delivered;2 In1 USB Type-C /Micro-USB USB 2.0/3.0 Memory Card Reader Writer OTG Adapter SD TF Super Speed;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;18 May 2026;Free Shipping Max Fee;-30.35;4.1856;Released;25 May 2026;;15 May 2026;242101450887354;242101450987354;907863275-1755246547299-0;907863275_PK-3941429372;0;NO;Delivered;2 In1 USB Type-C /Micro-USB USB 2.0/3.0 Memory Card Reader Writer OTG Adapter SD TF Super Speed;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;18 May 2026;Co-funded Voucher Max;-8.72;0;Released;25 May 2026;;15 May 2026;242101450887354;242101450987354;907863275-1755246547299-0;907863275_PK-3941429372;0;NO;Delivered;2 In1 USB Type-C /Micro-USB USB 2.0/3.0 Memory Card Reader Writer OTG Adapter SD TF Super Speed;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;18 May 2026;Income Tax Withholding;-4;0;Released;25 May 2026;;15 May 2026;242101450887354;242101450987354;907863275-1755246547299-0;907863275_PK-3941429372;0;NO;Delivered;2 In1 USB Type-C /Micro-USB USB 2.0/3.0 Memory Card Reader Writer OTG Adapter SD TF Super Speed;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;18 May 2026;Sales Tax Withholding;-9;0;Released;25 May 2026;;15 May 2026;242101450887354;242101450987354;907863275-1755246547299-0;907863275_PK-3941429372;0;NO;Delivered;2 In1 USB Type-C /Micro-USB USB 2.0/3.0 Memory Card Reader Writer OTG Adapter SD TF Super Speed;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;19 May 2026;Payment Fee;-61.83;8.528;Released;25 May 2026;;16 May 2026;242147488500555;242147488600555;N-ASP01B;1952113996_PK-14014332870;0;NO;Delivered;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android Windows Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;19 May 2026;Shipping Fee Paid by Buyer;195;0;Released;25 May 2026;;16 May 2026;242147488500555;242147488600555;N-ASP01B;1952113996_PK-14014332870;0;NO;Delivered;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android Windows Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;19 May 2026;Product Price Paid by Buyer;2369;0;Released;25 May 2026;;16 May 2026;242147488500555;242147488600555;N-ASP01B;1952113996_PK-14014332870;0;NO;Delivered;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android Windows Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
18 May 2026 - 24 May 2026;PK2NBXPB2G6-2026-021;19 May 2026;Commission Fee;-384.73;53.0656;Released;25 May 2026;;16 May 2026;242147488500555;242147488600555;N-ASP01B;1952113996_PK-14014332870;0;NO;Delivered;Universal Stylus Pencil Tablet Stylus Pen Touch Pen compatible for Android Windows Universal Active Stylus Pen – Na Imports;PK2NBXPB2G6
